status,cz_title,en_title,year,episode_count,categories,sample_video_id,sample_url,sample_title,reason,closest_db_match
in_db,Agresivní virus-Třetí kolej,,,1,serialy-cz-sk,50080,https://online.sktorrent.eu/video/50080/agresivní-virus-třetí-kolej-s01e11,Agresivní virus-Třetí kolej (S01E11),hard:1/1 eps already linked,
in_db,Agresivní virus-Zmizelá,,,1,serialy-cz-sk,50079,https://online.sktorrent.eu/video/50079/agresivní-virus-zmizelá-s01e09,Agresivní virus-Zmizelá (S01E09),hard:1/1 eps already linked,
in_db,Agresivní virus- Zrůdy noci,,,1,serialy-cz-sk,50078,https://online.sktorrent.eu/video/50078/agresivní-virus-zrůdy-noci-s01e08,Agresivní virus- Zrůdy noci (S01E08),hard:1/1 eps already linked,
in_db,Agresivní virus-Na prokázané služby,,,1,serialy-cz-sk,50077,https://online.sktorrent.eu/video/50077/agresivní-virus-na-prokázané-služby-s01e07,Agresivní virus-Na prokázané služby (S01E07),hard:1/1 eps already linked,
in_db,Agresivní virus-Zákryt,,,1,serialy-cz-sk,50076,https://online.sktorrent.eu/video/50076/agresivní-virus-zákryt-s01e06,Agresivní virus-Zákryt (S01E06),hard:1/1 eps already linked,
in_db,Agresivní virus-Útěky,,,1,serialy-cz-sk,50075,https://online.sktorrent.eu/video/50075/agresivní-virus-Útěky-s01e05,Agresivní virus-Útěky (S01E05),hard:1/1 eps already linked,
in_db,Agresivní virus-Není to pro každého,,,1,serialy-cz-sk,50074,https://online.sktorrent.eu/video/50074/agresivní-virus-není-to-pro-každého-s01e04,Agresivní virus-Není to pro každého (S01E04),hard:1/1 eps already linked,
in_db,Agresivní virus-Uhlazený,,,1,serialy-cz-sk,50073,https://online.sktorrent.eu/video/50073/agresivní-virus-uhlazený-s01e03,Agresivní virus-Uhlazený (S01E03),hard:1/1 eps already linked,
in_db,Agresivní virus-Ta bedna,,,1,serialy-cz-sk,50072,https://online.sktorrent.eu/video/50072/agresivní-virus-ta-bedna-s01e02,Agresivní virus-Ta bedna (S01E02),hard:1/1 eps already linked,
in_db,Agresivní virus,,,1,serialy-cz-sk,50071,https://online.sktorrent.eu/video/50071/agresivní-virus-s01e01,Agresivní virus S01E01,hard:1/1 eps already linked,
